,Cluster Labels,Neighborhood,Borough,1st Common,2nd Common,3rd Common,4th Common,5th Common,6th Common,7th Common,8th Common,9th Common,10th Common,Latitude,Longitude
133,6,Queen's Park,Queen's Park,Coffee Shop,Gym,Diner,Park,College Auditorium,Seafood Restaurant,Sandwich Place,Burger Joint,Burrito Place,Café,43.657162,-79.378937
134,13,Railway Lands,Downtown Toronto,Airport Terminal,Airport Lounge,Harbor / Marina,Airport Service,Coffee Shop,Sculpture Garden,Boat or Ferry,Boutique,Airport Gate,Airport,43.6289467,-79.3944199
135,14,Rathnelly,Central Toronto,Coffee Shop,Pub,American Restaurant,Bagel Shop,Restaurant,Fried Chicken Joint,Sports Bar,Supermarket,Sushi Restaurant,Pizza Place,43.68641229999999,-79.4000493
136,6,Regent Park,Downtown Toronto,Coffee Shop,Park,Café,Pub,Bakery,Mexican Restaurant,Breakfast Spot,Restaurant,Gym / Fitness Center,Theater,43.6542599,-79.3606359
137,6,Richmond,Downtown Toronto,Coffee Shop,Café,Bar,Steakhouse,Cosmetics Shop,Thai Restaurant,Burger Joint,Restaurant,Hotel,American Restaurant,43.65057120000001,-79.3845675
138,3,Richview Gardens,Etobicoke,Pizza Place,Park,Mobile Phone Shop,Bus Line,Donut Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore,43.6889054,-79.55472440000001
139,6,Riverdale,East Toronto,Greek Restaurant,Coffee Shop,Italian Restaurant,Furniture / Home Store,Ice Cream Shop,Pizza Place,Spa,Bookstore,Brewery,Bubble Tea Shop,43.6795571,-79.352188
140,16,Roncesvalles,West Toronto,Breakfast Spot,Gift Shop,Dessert Shop,Eastern European Restaurant,Dog Run,Bar,Bank,Italian Restaurant,Restaurant,Movie Theater,43.6489597,-79.456325
141,8,Rosedale,Downtown Toronto,Park,Trail,Playground,Building,Yoga Studio,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,43.6795626,-79.37752940000001
142,16,Roselawn,Central Toronto,Garden,Home Service,Music Venue,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,43.7116948,-79.41693559999999
143,5,Rouge,Scarborough,Fast Food Restaurant,Print Shop,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Yoga Studio,43.8066863,-79.19435340000003
144,10,Rouge Hill,Scarborough,Golf Course,Bar,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio,43.7845351,-79.16049709999999
145,1,Royal York South East,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6362579,-79.49850909999998
146,16,Royal York South West,Etobicoke,Bakery,Burrito Place,Wings Joint,Hardware Store,Gym,Grocery Store,Discount Store,Fast Food Restaurant,Flower Shop,Tanning Salon,43.6288408,-79.52099940000002
147,6,Runnymede,York,Coffee Shop,Café,Pizza Place,Sushi Restaurant,Restaurant,Italian Restaurant,Diner,Brewery,Sandwich Place,Burrito Place,43.6515706,-79.4844499
148,6,Ryerson,Downtown Toronto,Coffee Shop,Clothing Store,Cosmetics Shop,Café,Japanese Restaurant,Theater,Italian Restaurant,Bakery,Fast Food Restaurant,Sporting Goods Shop,43.67318529999999,-79.48726190000002
149,21,Scarborough Town Centre,Scarborough,Indian Restaurant,Pet Store,Vietnamese Restaurant,Latin American Restaurant,Chinese Restaurant,Yoga Studio,Donut Shop,Diner,Discount Store,Dog Run,43.6571618,-79.37893709999999
150,8,Scarborough Village,Scarborough,Women's Store,Playground,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,43.7574096,-79.27330400000002
151,4,Scarborough Village West,Scarborough,American Restaurant,Motel,Dim Sum Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Yoga Studio,43.7447342,-79.23947609999998
152,7,Silver Hills,North York,Park,Cafeteria,Yoga Studio,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,43.716316,-79.23947609999998
153,17,Silverstone,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.7574902,-79.37471409999998
154,20,Silverthorn,York,Discount Store,Restaurant,Sandwich Place,Bar,Convenience Store,Yoga Studio,Drugstore,Dog Run,Doner Restaurant,Donut Shop,43.7394164,-79.5884369
155,14,South Hill,Central Toronto,Coffee Shop,Pub,American Restaurant,Bagel Shop,Restaurant,Fried Chicken Joint,Sports Bar,Supermarket,Sushi Restaurant,Pizza Place,43.6911158,-79.47601329999998
156,13,South Niagara,Downtown Toronto,Airport Terminal,Airport Lounge,Harbor / Marina,Airport Service,Coffee Shop,Sculpture Garden,Boat or Ferry,Boutique,Airport Gate,Airport,43.68641229999999,-79.4000493
157,17,South Steeles,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.6289467,-79.3944199
158,16,South of Bloor,Etobicoke,Bakery,Burrito Place,Wings Joint,Hardware Store,Gym,Grocery Store,Discount Store,Fast Food Restaurant,Flower Shop,Tanning Salon,43.7394164,-79.5884369
159,6,St. James Town,Downtown Toronto,Coffee Shop,Café,Restaurant,Italian Restaurant,Bakery,Park,Hotel,Gastropub,Breakfast Spot,Pizza Place,43.6288408,-79.52099940000002
160,3,St. Phillips,Etobicoke,Pizza Place,Park,Mobile Phone Shop,Bus Line,Donut Shop,Diner,Discount Store,Dog Run,Doner Restaurant,Drugstore,43.6514939,-79.3754179
161,8,Steeles East,Scarborough,Playground,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.667967,-79.3676753
162,6,Stn A PO Boxes 25 The Esplanade,Downtown Toronto,Coffee Shop,Restaurant,Café,Italian Restaurant,Beer Bar,Cocktail Bar,Hotel,Seafood Restaurant,Creperie,Pub,43.6889054,-79.55472440000001
163,6,Studio District,East Toronto,Café,Coffee Shop,Bakery,Italian Restaurant,American Restaurant,Yoga Studio,Comfort Food Restaurant,Brewery,Seafood Restaurant,Sandwich Place,43.8152522,-79.2845772
164,16,Sullivan,Scarborough,Pizza Place,Pharmacy,Thai Restaurant,Noodle House,Chinese Restaurant,Breakfast Spot,Bank,Italian Restaurant,Fried Chicken Joint,Fast Food Restaurant,43.6464352,-79.37484599999998
165,23,Summerhill East,Central Toronto,Playground,Gym,Restaurant,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.6595255,-79.340923
166,14,Summerhill West,Central Toronto,Coffee Shop,Pub,American Restaurant,Bagel Shop,Restaurant,Fried Chicken Joint,Sports Bar,Supermarket,Sushi Restaurant,Pizza Place,43.7816375,-79.3043021
167,1,Sunnylea,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6895743,-79.38315990000002
168,6,Swansea,West Toronto,Coffee Shop,Café,Italian Restaurant,Restaurant,Pizza Place,Diner,Sushi Restaurant,Food,Smoothie Shop,Bookstore,43.68641229999999,-79.4000493
169,16,Tam O'Shanter,Scarborough,Pizza Place,Pharmacy,Thai Restaurant,Noodle House,Chinese Restaurant,Breakfast Spot,Bank,Italian Restaurant,Fried Chicken Joint,Fast Food Restaurant,43.6362579,-79.49850909999998
170,6,The Annex,Central Toronto,Sandwich Place,Café,Coffee Shop,Pizza Place,Liquor Store,Burger Joint,Jewish Restaurant,Indian Restaurant,Pub,Cosmetics Shop,43.6515706,-79.4844499
171,14,The Beaches,East Toronto,Trail,Health Food Store,Neighborhood,Pub,Yoga Studio,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.7816375,-79.3043021
172,16,The Beaches West,East Toronto,Park,Sandwich Place,Gym,Brewery,Food & Drink Shop,Italian Restaurant,Steakhouse,Fish & Chips Shop,Fast Food Restaurant,Burrito Place,43.6727097,-79.40567840000001
173,6,The Danforth West,East Toronto,Greek Restaurant,Coffee Shop,Italian Restaurant,Furniture / Home Store,Ice Cream Shop,Pizza Place,Spa,Bookstore,Brewery,Bubble Tea Shop,43.67635739999999,-79.2930312
174,17,The Junction North,York,Caribbean Restaurant,Brewery,Grocery Store,Bus Line,Yoga Studio,Dumpling Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6689985,-79.31557159999998
175,16,The Junction South,West Toronto,Bar,Café,Mexican Restaurant,Park,Arts & Crafts Store,Discount Store,Bakery,Cajun / Creole Restaurant,Fried Chicken Joint,Furniture / Home Store,43.6795571,-79.352188
176,19,The Kingsway,Etobicoke,Park,River,Pool,Yoga Studio,Donut Shop,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.67318529999999,-79.48726190000002
177,1,The Queensway East,Etobicoke,Breakfast Spot,Pool,Baseball Field,Yoga Studio,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,43.6616083,-79.46476329999999
178,16,The Queensway West,Etobicoke,Bakery,Burrito Place,Wings Joint,Hardware Store,Gym,Grocery Store,Discount Store,Fast Food Restaurant,Flower Shop,Tanning Salon,43.65365360000001,-79.5069436
179,17,Thistletown,Etobicoke,Grocery Store,Pharmacy,Fried Chicken Joint,Pizza Place,Coffee Shop,Discount Store,Sandwich Place,Beer Store,Japanese Restaurant,Fast Food Restaurant,43.6362579,-79.49850909999998
180,16,Thorncliffe Park,East York,Indian Restaurant,Burger Joint,Yoga Studio,Bank,Housing Development,Liquor Store,Discount Store,Park,Pharmacy,Pizza Place,43.6288408,-79.52099940000002
181,6,Toronto Dominion Centre,Downtown Toronto,Coffee Shop,Café,Hotel,Restaurant,Gastropub,Bar,Bakery,American Restaurant,Italian Restaurant,Deli / Bodega,43.7394164,-79.5884369
182,6,Toronto Islands,Downtown Toronto,Coffee Shop,Hotel,Aquarium,Café,Fried Chicken Joint,Brewery,Scenic Lookout,Baseball Stadium,Sporting Goods Shop,Bakery,43.7053689,-79.34937190000002
183,6,Trinity,West Toronto,Bar,Coffee Shop,Asian Restaurant,Café,French Restaurant,Vietnamese Restaurant,Restaurant,Men's Store,Vegetarian / Vegan Restaurant,New American Restaurant,43.6471768,-79.38157640000001
184,6,Underground city,Downtown Toronto,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Burger Joint,Seafood Restaurant,Deli / Bodega,Steakhouse,Asian Restaurant,43.6408157,-79.38175229999997
185,6,Union Station,Downtown Toronto,Coffee Shop,Hotel,Aquarium,Café,Fried Chicken Joint,Brewery,Scenic Lookout,Baseball Stadium,Sporting Goods Shop,Bakery,43.647926700000006,-79.4197497
186,16,University of Toronto,Downtown Toronto,Café,Bakery,Bar,Japanese Restaurant,Bookstore,Sandwich Place,Restaurant,Poutine Place,Beer Bar,Beer Store,43.6484292,-79.3822802
187,11,Upwood Park,North York,Basketball Court,Bakery,Park,Construction & Landscaping,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,43.6408157,-79.38175229999997
188,6,Victoria Hotel,Downtown Toronto,Coffee Shop,Café,Hotel,Restaurant,American Restaurant,Italian Restaurant,Gastropub,Deli / Bodega,Steakhouse,Gym,43.6626956,-79.4000493
189,6,Victoria Village,North York,Pizza Place,Coffee Shop,Hockey Arena,Portuguese Restaurant,Drugstore,Dim Sum Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,43.71375620000001,-79.4900738
190,2,West Deane Park,Etobicoke,Bank,Yoga Studio,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,Electronics Store,Diner,43.6481985,-79.37981690000002
191,16,West Hill,Scarborough,Pizza Place,Breakfast Spot,Medical Center,Electronics Store,Rental Car Location,Intersection,Mexican Restaurant,Yoga Studio,Doner Restaurant,Diner,43.7258823,-79.31557159999998
192,6,Westmount,Etobicoke,Pizza Place,Middle Eastern Restaurant,Coffee Shop,Discount Store,Sandwich Place,Chinese Restaurant,Intersection,Eastern European Restaurant,Dumpling Restaurant,Drugstore,43.6509432,-79.55472440000001
193,9,Weston,York,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,43.7635726,-79.1887115
194,16,Wexford,Scarborough,Middle Eastern Restaurant,Breakfast Spot,Smoke Shop,Auto Garage,Bakery,Sandwich Place,Yoga Studio,Dog Run,Doner Restaurant,Donut Shop,43.696319,-79.53224240000002
195,21,Wexford Heights,Scarborough,Indian Restaurant,Pet Store,Vietnamese Restaurant,Latin American Restaurant,Chinese Restaurant,Yoga Studio,Donut Shop,Diner,Discount Store,Dog Run,43.706876,-79.51818840000001
196,9,Willowdale,North York,Park,Yoga Studio,Dumpling Restaurant,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,43.7500715,-79.2958491
197,6,Willowdale South,North York,Ramen Restaurant,Coffee Shop,Sushi Restaurant,Japanese Restaurant,Sandwich Place,Pizza Place,Café,Ice Cream Shop,Steakhouse,Indonesian Restaurant,43.7574096,-79.27330400000002
198,17,Willowdale West,North York,Pizza Place,Home Service,Discount Store,Coffee Shop,Pharmacy,Grocery Store,Comfort Food Restaurant,Dessert Shop,Event Space,Ethiopian Restaurant,43.789053,-79.40849279999998
199,6,Wilson Heights,North York,Coffee Shop,Pet Store,Fast Food Restaurant,Sushi Restaurant,Deli / Bodega,Middle Eastern Restaurant,Restaurant,Fried Chicken Joint,Frozen Yogurt Shop,Diner,43.7701199,-79.40849279999998
200,6,Woburn,Scarborough,Coffee Shop,Pharmacy,Korean Restaurant,Dumpling Restaurant,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Eastern European Restaurant,43.7827364,-79.4422593
201,16,Woodbine Gardens,East York,Pizza Place,Fast Food Restaurant,Pharmacy,Gastropub,Café,Bank,Intersection,Athletics & Sports,Pet Store,Gym / Fitness Center,43.7543283,-79.4422593
202,16,Woodbine Heights,East York,Skating Rink,Pharmacy,Beer Store,Curling Ice,Video Store,Cosmetics Shop,Park,Ethiopian Restaurant,Event Space,Empanada Restaurant,43.7709921,-79.21691740000001
203,7,York Mills,North York,Park,Cafeteria,Yoga Studio,Drugstore,Diner,Discount Store,Dog Run,Doner Restaurant,Donut Shop,Eastern European Restaurant,43.7063972,-79.309937
204,0,York Mills West,North York,Park,Bank,Convenience Store,Yoga Studio,Eastern European Restaurant,Dog Run,Doner Restaurant,Donut Shop,Drugstore,Dumpling Restaurant,43.69534390000001,-79.3183887
205,6,York University,North York,Furniture / Home Store,Coffee Shop,Massage Studio,Metro Station,Bar,Caribbean Restaurant,Falafel Restaurant,Cosmetics Shop,Dog Run,Comic Shop,43.7574902,-79.37471409999998
206,6,Yorkville,Central Toronto,Sandwich Place,Café,Coffee Shop,Pizza Place,Liquor Store,Burger Joint,Jewish Restaurant,Indian Restaurant,Pub,Cosmetics Shop,43.7527583,-79.4000493
